           uid   room_id              name  guard_num
0    434334701  21452505         七海Nana7mi       2241
1    480680646  21696950             阿萨Aza       1570
2   1588646945  25206807            巴老师的小号       1416
3    672342685  22625027           乃琳Queen       1414
4        45502  22650610         冥冥meichan       1408
5    402417817  22047448       星宮汐Official       1029
6    692283831  22571958     美波七海-official       1014
7       140378    958617              梦音茶糯       1006
8   1265680561  22603245              永雏塔菲        961
9   1601895109  25245573    shoto_official        960
10  1775966996  24731541   Vox_EN_Official        775
11   401315430  22886883       星瞳_Official        766
12   349991143  12235923     神楽Mea_NHOTBOT        741
13   401480763  21402309     眞白花音_Official        693
14     7706705     80397          阿梓从小就很可爱        693
15   489146840  22301377       奈奈莉娅Channel        677
16   269415357   7688602            花花Haya        607
17      632960   1944820        切茜娅CheIsea        501
18      249118    363889         shourei小N        427
19   617459493  22384516                呜米        404
20   508963009  21919321       HiiroVTuber        400
21      282994     47377           泠鸢yousa        383
22    56748733  21756924           雪绘Yukie        370
23     3821157  21692711         东爱璃Lovely        359
24    14387072   6374209              小可学妹        337
25     1950658     41682               早稻叽        322
26  1096223397  22853788    白雪艾莉娅_Official        313
27      745493   8792912                咩栗        304
28   407106379  21396545     绯赤艾莉欧_NHOTBOT        261
29   473244363  22992234          蕾尔娜Leona        258
30   477332594  21652717         白神遥Haruka        245
31   504674421  23588360           零诺Reino        215
32  1838190318  24643640             魔狼咪莉娅        215
33     3035105   3415150            奈姬niki        204
34   697091119  22676119  猫雷NyaRu_Official        200
35     3046429    938957              祖娅纳惜        177
36     2299184   8725120      古守血遊official        166
37   434565011  21449083      物述有栖Official        133
38     5563350   4138602       小希小桃Channel        126
39   406805563  21320551       乙女音Official        122
40   441381282  21547895      花丸晴琉Official         97
41  1900434152  23105590       恋乃夜舞_propro         93
42     1473830   1485080       AIChannel官方         57
43  1370775553  22974318              -桃易-          3
44   667526012  22622535     文静_千鸟Official          1
45  2001283668  22642673    路星晨Morningstar          0
46     9034870    190577      星街彗星Official          0
