关注	粉丝数	日增	视频数	舰团	空间id	直播间id
阿萨Aza	1116360	2591	469	5005	480680646	21696950
七海Nana7mi	807071	1030	433 	906 	434334701	21452505
阿梓从小就很可爱	632564	1778	110	1075	7706705	80397
小可学妹	406318	1140	118 	256 	14387072	6374209
罗伊_Roi	391715	1896	309	1071	480745939	21696953
211125*琉绮Ruki	296495	-36	444	10	420249427	21403609
勺Shaun	266021	265	148 	54 	666726801	22470208
茶冷_Channel	233413	221	211	50	741520	33942
艾因Eine	213420	364	280	91	421267475	21403601
星弥Hoshimi	171907	177	136	171	477342747	21672022
雪绘Yukie	171036	156	294	443	56748733	21756924
勾檀Mayumi	129904	156	136 	269 	690608693	22778610
菫妃奈Official	117171	-34	177	0	98181	4418655
桃星Tocci	113959	368	110	238	690608704	23017349
蕾米Remi	113389	16	70	38	690608687	22778596
弥希Miki	107763	95	106	422	477317922	21672023
诺莺Nox	105347	382	166	128	529249	282208
轴伊Joi_Channel	104771	5	133	190	61639371	21484828
花留Karu	104264	5	98	0	370687588	22111428
安堂いなり_official	101758	-11	801 	51 	392505232	21224291
千春_Chiharu	98204	237	181 	81 	558070433	22389319
蜜球兔	94535	17	126	122	1750561	8721033
茉里Mari	90400	-7	133	66	690608686	22605463
中单光一	88298	350	282 	113 	434401868	21457197
尤格Yog	81251	939	58	241	690608709	23550749
无理MURI	74719	3	181	2	455916618	21571739
雾深Girimi	73769	104	46	127	1484169431	23805029
悠亚Yua	72844	15	82	168	666726799	22470216
舒三妈Susam	68972	2056	104	159	6853766	3032130
度人Tabibito	64339	177	176	26	474369808	21696957
惑姬Waku	57024	4	255	34	472877684	21613356
金克茜Jinxy	55701	-3	105	30	628292885	22459139
田野柴Tanoshiba	55173	235	127	90	690608706	22605469
真绯瑠mahiru	53903	75	117	122	477306079	21672024
伊莎贝拉Official	53637	20	50 	22 	666726803	22470189
清良Kiyora	53253	7	50	58	558070436	22389323
千幽Chiyuu	52567	59	63 	70 	690608691	22605464
沙夜_Saya	50945	-1	125	4	490331391	21763344
恋诗夜Koxia	47589	257	43	170	690608690	23260932
瑞娅_Rhea	45835	77	75	139	690608698	23260993
八木迪之	44605	81	124 	22 	480675481	21696929
希侑Kiyuu	44095	-3	25	155	1155425566	23805066
狩砂Karisa	43878	22	26	80	690608714	23805078
伊深Imi	42771	2	49 	77 	690608694	22605466
有加plus	41748	-3	185	20	472845978	21613353
卡欧斯_Chaos	41334	30	87 	8 	628292881	22389314
九十九_Tsukumo	40595	49	55 	55 	690608702	22778627
喵月nyatsuki	40129	4	160 	17 	472821519	21615277
库伽Hakuja	38979	55	40	19	690608695	23260979
露露娜Ruruna	36847	-9	83	16	558070434	22459102
吉吉Kiti	34958	16	71 	17 	690608688	23017343
瑞芙Reve	32669	7	97	17	666726802	22470204
KINGSK科科_Channel	32539	3	86	0	36795838	1573301
星宸Sirius	31544	8	59	11	666726800	22470210
夜宫Yomiya	31104	156	61 	54 	690608689	23260856
210727*萨麦尔_Samael	30786	4	117	0	370689210	22111450
羽音Hanon	24254	-4	8	0	455965041	21669084
宫园凛RinMiyazono	23888	14	276 	17 	12485637	784734
希维Sybil	22788	21	51	16	1405589619	23805059
友夏Uka	21890	190	67 	74 	690608712	23550793
糯依Noi	21329	2	66	6	176836079	6068126
220125*绮楼Qilou	21257	15	57	1	690608696	23017346
210727*紫纪Shiki	20732	-1	62	0	370687372	22111414
魔魔マラ	17478	0	31	0	322210278	21736138
岁己SUI	17387	485	7	167	1954091502	25788785
犬童Kendou	17060	-5	0	0	690608701	22778617
星也seiya	16416	8	12	0	319810877	21763337
莱恩Leo	15965	1674	5	47	1116072703	25788858
220308*未羽Miyu	14983	2	19	0	690608692	23260965
克克_Keke	11539	17	41 	7 	690608711	23550784
江乱Era	10677	434	5	26	1739085910	25788830
暴食Hunger	9056	16	26	8	690608710	23550773
