,follower
2019-12-02,4900
2019-12-03,5111
2019-12-04,5302
2019-12-05,5396
2019-12-06,5580
2019-12-07,5687
2019-12-08,5789
2019-12-09,5895
2019-12-10,5999
2019-12-11,6051
2019-12-12,6152
2019-12-13,6229
2019-12-14,6361
2019-12-15,6472
2019-12-16,6605
2019-12-17,6705
2019-12-18,6779
2019-12-19,6878
2019-12-20,6982
2019-12-21,7078
2019-12-22,7134
2019-12-23,7225
2019-12-24,7262
2019-12-25,7321
2019-12-26,7358
2019-12-27,7400
2019-12-28,7465
2019-12-29,7526
2019-12-30,7594
2019-12-31,7636
2020-01-01,7669
2020-01-02,7699
2020-01-03,7709
2020-01-04,7755
2020-01-05,7790
2020-01-06,7823
2020-01-07,7834
2020-01-08,7853
2020-01-09,7881
2020-01-10,7927
2020-01-11,7951
2020-01-12,7973
2020-01-13,8002
2020-01-14,8050
2020-01-15,8069
2020-01-16,8087
2020-01-17,8110
2020-01-18,8158
2020-01-19,8237
2020-01-20,8296
2020-01-21,8359
2020-01-22,8402
2020-01-23,8491
2020-01-24,8589
2020-01-25,8657
2020-01-26,8767
2020-01-27,8855
2020-01-28,8930
2020-01-29,9054
2020-01-30,9108
2020-01-31,9243
2020-02-01,9384
2020-02-02,9429
2020-02-03,9577
2020-02-04,9648
2020-02-05,9727
2020-02-06,9845
2020-02-07,9960
2020-02-08,10159
2020-02-09,10307
2020-02-10,10362
2020-02-11,10455
2020-02-12,10501
2020-02-13,10546
2020-02-14,10587
2020-02-15,10651
2020-02-16,10757
2020-02-17,10814
2020-02-18,10861
2020-02-19,10920
2020-02-20,11007
2020-02-21,11052
2020-02-22,11112
2020-02-23,11175
2020-02-24,11215
2020-02-25,11257
2020-02-26,11308
2020-02-27,11369
2020-02-28,11417
2020-02-29,11442
2020-03-01,11477
2020-03-02,11510
2020-03-03,11527
2020-03-04,11547
2020-03-05,11581
2020-03-06,11642
2020-03-07,11723
2020-03-08,11763
2020-03-09,11785
2020-03-10,11836
2020-03-11,11934
2020-03-12,11996
2020-03-13,12086
2020-03-14,12133
2020-03-15,12214
2020-03-16,12301
2020-03-17,12344
2020-03-18,12428
2020-03-19,12484
2020-03-20,12583
2020-03-21,12644
2020-03-22,12761
2020-03-23,12847
2020-03-24,12931
2020-03-25,13118
2020-03-26,13211
2020-03-27,13275
2020-03-28,13326
2020-03-29,13398
2020-03-30,13519
2020-03-31,13636
2020-04-01,13739
2020-04-02,13966
2020-04-03,14025
2020-04-04,14073
2020-04-05,14132
2020-04-06,14182
2020-04-07,14303
2020-04-08,14428
2020-04-09,14545
2020-04-10,14592
2020-04-11,14663
2020-04-12,14751
2020-04-13,14815
2020-04-14,14886
2020-04-15,14944
2020-04-16,15003
2020-04-17,15057
2020-04-18,15138
2020-04-19,15202
2020-04-20,15276
2020-04-21,15419
2020-04-22,15477
2020-04-23,15552
2020-04-24,15620
2020-04-25,15688
2020-04-26,15769
2020-04-27,15828
2020-04-28,15962
2020-04-29,16078
2020-04-30,16129
2020-05-01,16164
2020-05-02,16247
2020-05-03,16286
2020-05-04,16340
2020-05-05,16358
2020-05-06,16429
2020-05-07,16496
2020-05-08,16562
2020-05-09,16586
2020-05-10,16641
2020-05-12,16734
2020-05-13,16846
2020-05-14,16985
2020-05-16,17207
2020-05-17,17261
2020-05-20,17439
2020-05-21,17467
2020-05-22,17531
2020-05-23,17683
2020-05-24,17764
2020-05-26,17876
2020-05-27,17913
2020-05-28,17945
2020-05-29,17974
2020-05-30,17994
2020-06-02,18178
2020-06-06,18425
2020-06-08,18531
2020-06-13,18668
2020-06-29,18900
2020-07-08,19065
2020-07-10,19102
2020-07-11,19135
2020-07-14,19293
2020-07-20,19424
2020-07-23,19514
2020-07-29,19645
2020-08-01,19779
2020-08-02,19807
2020-08-08,20017
2020-08-19,20711
2020-08-21,20819
2020-08-23,20885
2020-08-31,21149
2020-09-19,21676
2020-09-23,21708
2020-09-27,21667
2020-10-02,21626
2020-10-03,21558
2020-10-04,21513
2020-10-07,21490
2020-10-11,21511
2020-10-15,21498
2020-10-21,21450
2020-10-23,21439
2020-10-24,21438
2020-10-29,21512
2020-11-02,21517
2020-11-06,21525
2020-11-10,21515
2020-11-14,21495
2020-11-20,21574
2020-11-29,21829
2020-11-30,21851
2020-12-22,22292
2020-12-27,22403
2021-01-02,22498
2021-01-03,22522
2021-01-09,22825
2021-01-10,22917
2021-01-14,22994
2021-01-15,23043
2021-01-18,23052
2021-01-24,23136
2021-01-29,23258
2021-01-31,23306
2021-02-03,23405
2021-02-05,23477
2021-02-07,23549
2021-02-10,23603
2021-02-14,23825
2021-02-16,24038
2021-02-20,24272
2021-02-22,24349
2021-02-25,24476
2021-03-18,24731
2021-03-20,24789
2021-03-21,24867
2021-03-28,25050
2021-04-01,25110
2021-04-04,25440
2021-04-05,25664
2021-04-06,25724
2021-04-12,25890
2021-04-18,25978
2021-04-22,26000
2021-05-07,26107
2021-05-11,26116
2021-05-16,26176
2021-05-27,26214
2021-05-31,26241
2021-06-04,26268
2021-06-08,26290
2021-06-12,26293
2021-06-16,26294
2021-07-05,26363
2021-07-12,26490
2021-07-18,26697
2021-07-20,26862
2021-07-22,26976
2021-07-23,27061
2021-07-24,27451
2021-07-25,27568
2021-07-26,27655
2021-07-31,27977
2021-08-03,28058
2021-08-05,28086
2021-08-06,28115
2021-08-08,28162
2021-08-10,28249
2021-08-12,28278
2021-08-15,28395
2021-08-16,28426
2021-08-19,28546
2021-08-20,28605
2021-08-24,28916
2021-08-25,28945
2021-08-27,29106
2021-08-28,29138
2021-08-30,29268
2021-09-03,29323
2021-09-07,29344
2021-09-11,29368
2021-09-16,29427
2021-09-20,29453
2021-10-06,29589
2021-10-10,29623
2021-10-25,29762
2021-11-07,29908
2021-11-13,30043
2021-11-19,30159
2021-11-20,30222
2021-12-06,30400
2021-12-10,30476
2021-12-23,30627
2021-12-26,30662
2021-12-28,30904
2021-12-29,30970
2022-01-03,31086
2022-01-04,31118
2022-01-07,31189
2022-01-11,31258
2022-01-15,31286
2022-01-22,31361
2022-01-26,31422
2022-02-01,31419
2022-02-06,31481
2022-02-13,31563
2022-02-17,31610
2022-02-21,31644
2022-02-26,31717
2022-03-02,31734
2022-03-06,31763
2022-03-10,31789
2022-03-14,31826
2022-03-18,31818
2022-03-22,31832
2022-03-26,31830
2022-03-30,31820
2022-04-03,31850
2022-04-14,31873
2022-04-18,31865
2022-04-22,31865
2022-04-26,31863
2022-04-30,31856
2022-05-04,31912
2022-05-07,31940
2022-05-08,31974
2022-05-11,32036
2022-05-15,32096
2022-05-19,32142
2022-05-23,32208
2022-05-25,32250
2022-05-30,32439
2022-06-02,32522
2022-06-18,32877
2022-07-03,33421
2022-07-16,34155
2022-07-18,34334
2022-07-19,34445
2022-07-21,34656
2022-07-22,34762
2022-07-25,35008
2022-08-01,35625
2022-08-02,35697
2022-08-05,36486
2022-08-06,36818
2022-08-07,37112
2022-08-12,38322
2022-08-13,38430
2022-08-15,38687
2022-08-17,38905
2022-08-18,40815
2022-08-19,41225
2022-08-20,41407
2022-08-21,41589
2022-08-22,41700
2022-08-23,41740
2022-08-24,42003
2022-08-26,43034
2022-08-28,43376
2022-08-29,43522
2022-08-30,43632
2022-09-01,43886
2022-09-03,44109
2022-09-10,44588
