time,follower
2019-12-02 12:18:22,7316
2019-12-02 12:27:50,7324
2019-12-02 12:48:27,7332
2019-12-02 13:08:03,7343
2019-12-02 13:23:16,7352
2019-12-02 13:43:22,7360
2019-12-02 14:18:03,7369
2019-12-02 14:32:54,7378
2019-12-02 15:07:59,7386
2019-12-02 15:48:09,7397
2019-12-02 16:02:54,7407
2019-12-02 16:12:58,7417
2019-12-02 16:33:28,7429
2019-12-02 16:57:58,7437
2019-12-02 17:22:59,7445
2019-12-02 17:43:06,7457
2019-12-02 17:57:51,7467
2019-12-02 18:02:52,7445
2019-12-02 18:08:09,7470
2019-12-02 18:28:00,7480
2019-12-02 18:48:35,7490
2019-12-02 18:58:24,7445
2019-12-02 19:03:34,7503
2019-12-02 19:13:24,7511
2019-12-02 19:18:09,7445
2019-12-02 19:28:32,7530
2019-12-02 19:38:52,7538
2019-12-02 19:49:21,7548
2019-12-02 20:03:51,7559
2019-12-02 20:13:51,7567
2019-12-02 20:23:57,7576
2019-12-02 20:44:38,7587
2019-12-02 21:10:46,7599
2019-12-02 21:30:51,7607
2019-12-02 21:46:05,7617
2019-12-02 22:06:16,7625
2019-12-02 22:21:50,7635
2019-12-02 22:37:36,7647
2019-12-02 23:02:21,7655
2019-12-02 23:22:23,7663
2019-12-02 23:42:31,7671
2019-12-03 00:27:23,7680
2019-12-03 00:42:13,7688
2019-12-03 00:57:56,7698
2019-12-03 01:17:15,7708
2019-12-03 01:52:03,7717
2019-12-03 02:17:09,7725
2019-12-03 02:47:19,7734
2019-12-03 03:32:17,7742
2019-12-03 04:27:18,7751
2019-12-03 07:27:19,7759
2019-12-03 07:47:15,7768
2019-12-03 08:48:45,7776
2019-12-03 09:33:49,7784
2019-12-03 10:20:08,7792
2019-12-03 12:03:39,7800
2019-12-03 12:19:41,7808
2019-12-03 12:44:23,7819
2019-12-03 13:15:03,7827
2019-12-03 13:40:34,7828
2019-12-03 14:19:55,7836
2019-12-03 15:20:38,7845
2019-12-03 15:50:38,7854
2019-12-03 16:40:48,7863
2019-12-03 17:35:50,7873
2019-12-03 18:21:09,7881
2019-12-03 18:50:43,7890
2019-12-03 19:26:46,7901
2019-12-03 20:01:56,7910
2019-12-03 20:54:45,7919
2019-12-03 21:21:20,7929
2019-12-03 21:26:25,7937
2019-12-03 21:36:26,7948
2019-12-03 21:46:16,7957
2019-12-03 22:01:19,7967
2019-12-03 22:22:54,7975
2019-12-03 22:38:12,7983
2019-12-03 23:20:07,7991
2019-12-03 23:35:01,8004
2019-12-04 00:10:02,8014
2019-12-04 00:29:58,8023
2019-12-04 01:01:31,8032
