,690608689
2021-08-19,13529
2021-08-20,13589
2021-08-21,13699
2021-08-22,13790
2021-08-23,13867
2021-08-24,14110
2021-08-25,14203
2021-08-26,14236
2021-08-27,14283
2021-08-28,14334
2021-08-29,14382
2021-08-30,14448
2021-08-31,14463
2021-09-01,14478
2021-09-03,14532
2021-09-04,14577
2021-09-05,14623
2021-09-07,14628
2021-09-08,14659
2021-09-10,14671
2021-09-11,14686
2021-09-12,14717
2021-09-13,14732
2021-09-14,14747
2021-09-15,14795
2021-09-16,14804
2021-09-17,14819
2021-09-18,14834
2021-09-19,14849
2021-09-20,14864
2021-09-22,14876
2021-09-23,14881
2021-09-24,14927
2021-09-25,14860
2021-09-26,14812
2021-09-27,14796
2021-09-28,14848
2021-09-29,15006
2021-09-30,15255
2021-10-01,15678
2021-10-02,15710
2021-10-03,15728
2021-10-04,15729
2021-10-05,15745
2021-10-07,15771
2021-10-09,15769
2021-10-10,15774
2021-10-11,15777
2021-10-13,15787
2021-10-14,15784
2021-10-15,15823
2021-10-16,15855
2021-10-17,15871
2021-10-18,15887
2021-10-19,15897
2021-10-20,15912
2021-10-22,15913
2021-10-23,15910
2021-10-24,15905
2021-10-26,15908
2021-10-27,15917
2021-10-28,15934
2021-10-29,15952
2021-11-02,16085
2021-11-03,16080
2021-11-04,16086
2021-11-06,16082
2021-11-07,16077
2021-11-09,16081
2021-11-10,16081
2021-11-11,16089
2021-11-13,16088
2021-11-14,16095
2021-11-15,16108
2021-11-17,16301
2021-11-19,16313
2021-11-20,16311
2021-11-21,16302
2021-11-22,16285
2021-12-05,16608
2021-12-07,16617
2021-12-08,16613
2021-12-09,16620
2021-12-11,16647
2021-12-12,16665
2021-12-14,16680
2021-12-15,16687
2021-12-16,16697
2021-12-17,16715
2021-12-18,16732
2021-12-19,16749
2021-12-20,16766
2021-12-21,16768
2021-12-23,16778
2021-12-24,16787
2021-12-25,16804
2021-12-26,16954
2021-12-27,16971
2021-12-28,16983
2021-12-30,16975
2021-12-31,16979
2022-01-01,17112
2022-01-02,17154
2022-01-03,17190
2022-01-04,17228
2022-01-06,17245
2022-01-07,17253
2022-01-08,17271
2022-01-09,17274
2022-01-10,17281
2022-01-11,17319
2022-01-12,17513
2022-01-13,17549
2022-01-14,17586
2022-01-16,17600
2022-01-17,17616
2022-01-19,17652
2022-01-21,17740
2022-01-23,17754
2022-01-24,17772
2022-01-25,17779
2022-01-26,17798
2022-01-27,17808
2022-01-28,17826
2022-01-29,17822
2022-01-31,17838
2022-02-04,17859
2022-02-05,17862
2022-02-06,17860
2022-02-07,17878
2022-02-08,17961
2022-02-09,17943
2022-02-11,17946
2022-02-12,17946
2022-02-13,17960
2022-02-15,17960
2022-02-16,17960
2022-02-17,17964
2022-02-19,17971
2022-02-20,17978
2022-02-21,17981
2022-02-23,17994
2022-02-24,17997
2022-02-25,18015
2022-02-27,18020
2022-02-28,18026
2022-03-01,18028
2022-03-03,18037
2022-03-04,18040
2022-03-05,18034
2022-03-07,18036
2022-03-08,18035
2022-03-09,18040
2022-03-11,18041
2022-03-12,18060
2022-03-13,18070
2022-03-14,18089
